PING 10.35.102.2 (10.35.102.2) 56(84) bytes of data.
64 bytes from 10.35.102.2: icmp_seq=111 ttl=62 time=0.478 ms
64 bytes from 10.35.102.2: icmp_seq=112 ttl=62 time=0.646 ms
64 bytes from 10.35.102.2: icmp_seq=113 ttl=62 time=0.552 ms
64 bytes from 10.35.102.2: icmp_seq=115 ttl=62 time=0.671 ms
64 bytes from 10.35.102.2: icmp_seq=117 ttl=62 time=0.667 ms
64 bytes from 10.35.102.2: icmp_seq=118 ttl=62 time=0.666 ms
64 bytes from 10.35.102.2: icmp_seq=119 ttl=62 time=0.565 ms
64 bytes from 10.35.102.2: icmp_seq=120 ttl=62 time=0.618 ms
64 bytes from 10.35.102.2: icmp_seq=121 ttl=62 time=0.606 ms
64 bytes from 10.35.102.2: icmp_seq=122 ttl=62 time=0.656 ms
64 bytes from 10.35.102.2: icmp_seq=123 ttl=62 time=0.608 ms
64 bytes from 10.35.102.2: icmp_seq=124 ttl=62 time=1.35 ms
64 bytes from 10.35.102.2: icmp_seq=125 ttl=62 time=0.619 ms
64 bytes from 10.35.102.2: icmp_seq=126 ttl=62 time=0.547 ms
64 bytes from 10.35.102.2: icmp_seq=127 ttl=62 time=0.554 ms
64 bytes from 10.35.102.2: icmp_seq=128 ttl=62 time=0.608 ms
64 bytes from 10.35.102.2: icmp_seq=129 ttl=62 time=0.531 ms
64 bytes from 10.35.102.2: icmp_seq=130 ttl=62 time=0.557 ms
64 bytes from 10.35.102.2: icmp_seq=131 ttl=62 time=0.616 ms
64 bytes from 10.35.102.2: icmp_seq=132 ttl=62 time=0.623 ms
64 bytes from 10.35.102.2: icmp_seq=133 ttl=62 time=0.655 ms
64 bytes from 10.35.102.2: icmp_seq=134 ttl=62 time=0.486 ms
64 bytes from 10.35.102.2: icmp_seq=135 ttl=62 time=0.536 ms
64 bytes from 10.35.102.2: icmp_seq=136 ttl=62 time=0.557 ms
64 bytes from 10.35.102.2: icmp_seq=143 ttl=62 time=0.573 ms
64 bytes from 10.35.102.2: icmp_seq=144 ttl=62 time=0.528 ms
64 bytes from 10.35.102.2: icmp_seq=145 ttl=62 time=0.594 ms
64 bytes from 10.35.102.2: icmp_seq=146 ttl=62 time=0.603 ms
64 bytes from 10.35.102.2: icmp_seq=147 ttl=62 time=0.611 ms
64 bytes from 10.35.102.2: icmp_seq=148 ttl=62 time=0.512 ms
64 bytes from 10.35.102.2: icmp_seq=149 ttl=62 time=0.499 ms
64 bytes from 10.35.102.2: icmp_seq=150 ttl=62 time=0.491 ms
64 bytes from 10.35.102.2: icmp_seq=151 ttl=62 time=0.472 ms
64 bytes from 10.35.102.2: icmp_seq=152 ttl=62 time=0.423 ms
64 bytes from 10.35.102.2: icmp_seq=153 ttl=62 time=0.434 ms
64 bytes from 10.35.102.2: icmp_seq=154 ttl=62 time=0.501 ms
64 bytes from 10.35.102.2: icmp_seq=155 ttl=62 time=0.514 ms
64 bytes from 10.35.102.2: icmp_seq=156 ttl=62 time=0.627 ms
64 bytes from 10.35.102.2: icmp_seq=157 ttl=62 time=0.696 ms
64 bytes from 10.35.102.2: icmp_seq=158 ttl=62 time=0.600 ms
64 bytes from 10.35.102.2: icmp_seq=159 ttl=62 time=0.621 ms
64 bytes from 10.35.102.2: icmp_seq=160 ttl=62 time=0.583 ms
64 bytes from 10.35.102.2: icmp_seq=161 ttl=62 time=0.632 ms
64 bytes from 10.35.102.2: icmp_seq=162 ttl=62 time=0.533 ms
64 bytes from 10.35.102.2: icmp_seq=163 ttl=62 time=0.562 ms
64 bytes from 10.35.102.2: icmp_seq=164 ttl=62 time=0.583 ms
64 bytes from 10.35.102.2: icmp_seq=165 ttl=62 time=0.488 ms
64 bytes from 10.35.102.2: icmp_seq=166 ttl=62 time=0.508 ms
64 bytes from 10.35.102.2: icmp_seq=167 ttl=62 time=0.583 ms
64 bytes from 10.35.102.2: icmp_seq=168 ttl=62 time=0.455 ms
64 bytes from 10.35.102.2: icmp_seq=169 ttl=62 time=0.580 ms
64 bytes from 10.35.102.2: icmp_seq=170 ttl=62 time=0.535 ms
64 bytes from 10.35.102.2: icmp_seq=171 ttl=62 time=0.515 ms
64 bytes from 10.35.102.2: icmp_seq=172 ttl=62 time=0.565 ms
64 bytes from 10.35.102.2: icmp_seq=173 ttl=62 time=0.593 ms
64 bytes from 10.35.102.2: icmp_seq=174 ttl=62 time=1.76 ms
64 bytes from 10.35.102.2: icmp_seq=175 ttl=62 time=0.548 ms
64 bytes from 10.35.102.2: icmp_seq=176 ttl=62 time=0.494 ms
64 bytes from 10.35.102.2: icmp_seq=177 ttl=62 time=0.567 ms
64 bytes from 10.35.102.2: icmp_seq=178 ttl=62 time=0.469 ms
64 bytes from 10.35.102.2: icmp_seq=179 ttl=62 time=0.450 ms
64 bytes from 10.35.102.2: icmp_seq=180 ttl=62 time=0.553 ms
64 bytes from 10.35.102.2: icmp_seq=181 ttl=62 time=0.500 ms
64 bytes from 10.35.102.2: icmp_seq=182 ttl=62 time=0.598 ms
64 bytes from 10.35.102.2: icmp_seq=183 ttl=62 time=0.444 ms
64 bytes from 10.35.102.2: icmp_seq=184 ttl=62 time=0.597 ms
64 bytes from 10.35.102.2: icmp_seq=185 ttl=62 time=0.463 ms
64 bytes from 10.35.102.2: icmp_seq=186 ttl=62 time=0.544 ms
64 bytes from 10.35.102.2: icmp_seq=187 ttl=62 time=0.591 ms
64 bytes from 10.35.102.2: icmp_seq=188 ttl=62 time=0.607 ms
64 bytes from 10.35.102.2: icmp_seq=189 ttl=62 time=0.665 ms
64 bytes from 10.35.102.2: icmp_seq=190 ttl=62 time=0.645 ms
64 bytes from 10.35.102.2: icmp_seq=191 ttl=62 time=0.535 ms
64 bytes from 10.35.102.2: icmp_seq=192 ttl=62 time=0.539 ms
64 bytes from 10.35.102.2: icmp_seq=193 ttl=62 time=0.528 ms
64 bytes from 10.35.102.2: icmp_seq=194 ttl=62 time=0.484 ms
64 bytes from 10.35.102.2: icmp_seq=195 ttl=62 time=0.531 ms
64 bytes from 10.35.102.2: icmp_seq=196 ttl=62 time=0.633 ms
64 bytes from 10.35.102.2: icmp_seq=197 ttl=62 time=0.549 ms
64 bytes from 10.35.102.2: icmp_seq=198 ttl=62 time=0.520 ms
64 bytes from 10.35.102.2: icmp_seq=199 ttl=62 time=0.498 ms
64 bytes from 10.35.102.2: icmp_seq=200 ttl=62 time=0.631 ms
64 bytes from 10.35.102.2: icmp_seq=201 ttl=62 time=0.563 ms
64 bytes from 10.35.102.2: icmp_seq=202 ttl=62 time=0.531 ms
64 bytes from 10.35.102.2: icmp_seq=203 ttl=62 time=0.555 ms
64 bytes from 10.35.102.2: icmp_seq=204 ttl=62 time=0.516 ms
64 bytes from 10.35.102.2: icmp_seq=205 ttl=62 time=0.490 ms
64 bytes from 10.35.102.2: icmp_seq=206 ttl=62 time=0.593 ms
64 bytes from 10.35.102.2: icmp_seq=207 ttl=62 time=0.520 ms
64 bytes from 10.35.102.2: icmp_seq=208 ttl=62 time=0.569 ms
64 bytes from 10.35.102.2: icmp_seq=209 ttl=62 time=0.571 ms
64 bytes from 10.35.102.2: icmp_seq=210 ttl=62 time=0.517 ms
64 bytes from 10.35.102.2: icmp_seq=211 ttl=62 time=0.570 ms
64 bytes from 10.35.102.2: icmp_seq=212 ttl=62 time=0.484 ms
64 bytes from 10.35.102.2: icmp_seq=213 ttl=62 time=0.475 ms
64 bytes from 10.35.102.2: icmp_seq=214 ttl=62 time=0.462 ms
64 bytes from 10.35.102.2: icmp_seq=215 ttl=62 time=0.542 ms
64 bytes from 10.35.102.2: icmp_seq=216 ttl=62 time=0.514 ms
64 bytes from 10.35.102.2: icmp_seq=217 ttl=62 time=0.535 ms
64 bytes from 10.35.102.2: icmp_seq=218 ttl=62 time=0.453 ms
64 bytes from 10.35.102.2: icmp_seq=219 ttl=62 time=0.452 ms
64 bytes from 10.35.102.2: icmp_seq=220 ttl=62 time=0.478 ms
64 bytes from 10.35.102.2: icmp_seq=221 ttl=62 time=0.553 ms
64 bytes from 10.35.102.2: icmp_seq=222 ttl=62 time=0.569 ms
64 bytes from 10.35.102.2: icmp_seq=223 ttl=62 time=0.570 ms
64 bytes from 10.35.102.2: icmp_seq=224 ttl=62 time=0.566 ms
64 bytes from 10.35.102.2: icmp_seq=225 ttl=62 time=0.650 ms
64 bytes from 10.35.102.2: icmp_seq=226 ttl=62 time=0.491 ms
64 bytes from 10.35.102.2: icmp_seq=227 ttl=62 time=0.611 ms
64 bytes from 10.35.102.2: icmp_seq=228 ttl=62 time=0.538 ms
64 bytes from 10.35.102.2: icmp_seq=229 ttl=62 time=0.638 ms
64 bytes from 10.35.102.2: icmp_seq=230 ttl=62 time=0.512 ms
64 bytes from 10.35.102.2: icmp_seq=231 ttl=62 time=0.574 ms
64 bytes from 10.35.102.2: icmp_seq=232 ttl=62 time=0.529 ms
64 bytes from 10.35.102.2: icmp_seq=233 ttl=62 time=0.503 ms
64 bytes from 10.35.102.2: icmp_seq=234 ttl=62 time=0.632 ms
64 bytes from 10.35.102.2: icmp_seq=235 ttl=62 time=0.548 ms
64 bytes from 10.35.102.2: icmp_seq=236 ttl=62 time=0.479 ms
64 bytes from 10.35.102.2: icmp_seq=237 ttl=62 time=0.564 ms
64 bytes from 10.35.102.2: icmp_seq=238 ttl=62 time=0.598 ms
64 bytes from 10.35.102.2: icmp_seq=239 ttl=62 time=0.556 ms
64 bytes from 10.35.102.2: icmp_seq=240 ttl=62 time=0.451 ms
64 bytes from 10.35.102.2: icmp_seq=241 ttl=62 time=0.601 ms
64 bytes from 10.35.102.2: icmp_seq=242 ttl=62 time=0.510 ms
64 bytes from 10.35.102.2: icmp_seq=243 ttl=62 time=0.561 ms
64 bytes from 10.35.102.2: icmp_seq=244 ttl=62 time=0.406 ms
64 bytes from 10.35.102.2: icmp_seq=245 ttl=62 time=0.561 ms
64 bytes from 10.35.102.2: icmp_seq=246 ttl=62 time=0.643 ms
64 bytes from 10.35.102.2: icmp_seq=247 ttl=62 time=0.590 ms
64 bytes from 10.35.102.2: icmp_seq=248 ttl=62 time=0.592 ms
64 bytes from 10.35.102.2: icmp_seq=249 ttl=62 time=0.542 ms
64 bytes from 10.35.102.2: icmp_seq=250 ttl=62 time=0.594 ms
64 bytes from 10.35.102.2: icmp_seq=251 ttl=62 time=1.70 ms
64 bytes from 10.35.102.2: icmp_seq=252 ttl=62 time=0.595 ms
64 bytes from 10.35.102.2: icmp_seq=253 ttl=62 time=0.469 ms
64 bytes from 10.35.102.2: icmp_seq=254 ttl=62 time=0.558 ms
64 bytes from 10.35.102.2: icmp_seq=255 ttl=62 time=0.516 ms
64 bytes from 10.35.102.2: icmp_seq=256 ttl=62 time=0.581 ms
64 bytes from 10.35.102.2: icmp_seq=257 ttl=62 time=0.563 ms
64 bytes from 10.35.102.2: icmp_seq=258 ttl=62 time=0.533 ms
64 bytes from 10.35.102.2: icmp_seq=259 ttl=62 time=0.537 ms
64 bytes from 10.35.102.2: icmp_seq=260 ttl=62 time=0.569 ms
64 bytes from 10.35.102.2: icmp_seq=261 ttl=62 time=0.633 ms
64 bytes from 10.35.102.2: icmp_seq=262 ttl=62 time=0.575 ms
64 bytes from 10.35.102.2: icmp_seq=263 ttl=62 time=0.567 ms
64 bytes from 10.35.102.2: icmp_seq=264 ttl=62 time=0.531 ms
64 bytes from 10.35.102.2: icmp_seq=265 ttl=62 time=0.645 ms
